group_checksum,representative,member,member_count,sector,boundary_note,classification,input_payload
cc733e5ee11c9b8c,PF-0011,PF-0011,2,MANUFACTURING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_boiler"":true,""has_pressure_vessel"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
cc733e5ee11c9b8c,PF-0011,PF-0111,2,SPECIAL_FACILITY,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_pressure_vessel"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
962e729f8c7564d5,PF-0020,PF-0020,3,BUILDING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_boiler"":true,""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
962e729f8c7564d5,PF-0020,PF-0021,3,BUILDING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
962e729f8c7564d5,PF-0020,PF-0084,3,BUILDING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
e8d8e439209ece23,PF-0024,PF-0024,2,BUILDING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_boiler"":true,""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
e8d8e439209ece23,PF-0024,PF-0081,2,BUILDING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
5070f157941b6869,PF-0025,PF-0025,2,BUILDING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
5070f157941b6869,PF-0025,PF-0082,2,BUILDING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_elevator"":true,""has_sprinkler"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
bbd514d3ceda5962,PF-0030,PF-0030,2,CONSTRUCTION,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_blasting"":true,""has_crane"":true,""worker_count"":450}}"
bbd514d3ceda5962,PF-0030,PF-0036,2,CONSTRUCTION,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_blasting"":true,""has_crane"":true,""worker_count"":450}}"
09cc05079e23be58,PF-0031,PF-0031,2,CONSTRUCTION,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_blasting"":true,""has_crane"":true,""has_high_work"":true,""worker_count"":450}}"
09cc05079e23be58,PF-0031,PF-0101,2,CONSTRUCTION,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_blasting"":true,""has_crane"":true,""has_high_work"":true,""worker_count"":450}}"
d6722e7d5f8adfd2,PF-0041,PF-0041,3,MANUFACTURING,worker_count=50 (안전관리자 선임 50명 경계),NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
d6722e7d5f8adfd2,PF-0041,PF-0059,3,MANUFACTURING,worker_count=50 (자동차 50명 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
d6722e7d5f8adfd2,PF-0041,PF-0060,3,MANUFACTURING,worker_count=50 (화학 50명 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
4c656362abd22711,PF-0044,PF-0044,2,MANUFACTURING,worker_count=100 (100명 경계),NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":100}}"
4c656362abd22711,PF-0044,PF-0061,2,MANUFACTURING,worker_count=100 (철강 100명 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":100}}"
cc14538251f19745,PF-0052,PF-0052,6,CONSTRUCTION,contract_amount_eok=49.0 (공사금액 50억 경계),NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_scaffold"":true,""worker_count"":50}}"
cc14538251f19745,PF-0052,PF-0053,6,CONSTRUCTION,contract_amount_eok=50.0 (공사금액 50억 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_scaffold"":true,""worker_count"":50}}"
cc14538251f19745,PF-0052,PF-0054,6,CONSTRUCTION,contract_amount_eok=51.0 (공사금액 50억 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_scaffold"":true,""worker_count"":50}}"
cc14538251f19745,PF-0052,PF-0055,6,CONSTRUCTION,contract_amount_eok=119.0 (120억 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_scaffold"":true,""worker_count"":50}}"
cc14538251f19745,PF-0052,PF-0056,6,CONSTRUCTION,contract_amount_eok=120.0 (120억 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_scaffold"":true,""worker_count"":50}}"
cc14538251f19745,PF-0052,PF-0057,6,CONSTRUCTION,contract_amount_eok=121.0 (120억 경계),DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_scaffold"":true,""worker_count"":50}}"
24ff015583b6785b,PF-0069,PF-0069,2,MANUFACTURING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""total_floor_area"":3000.0,""worker_count"":15}}"
24ff015583b6785b,PF-0069,PF-0073,2,MANUFACTURING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""total_floor_area"":3000.0,""worker_count"":15}}"
